Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Algeria,,Algiers,1,1,1995,64.2
Africa,Algeria,,Algiers,1,2,1995,49.4
Africa,Algeria,,Algiers,1,3,1995,48.8
Africa,Algeria,,Algiers,1,4,1995,46.4
Africa,Algeria,,Algiers,1,5,1995,47.9
Africa,Algeria,,Algiers,1,6,1995,48.7
Africa,Algeria,,Algiers,1,7,1995,48.9
Africa,Algeria,,Algiers,1,8,1995,49.1
Africa,Algeria,,Algiers,1,9,1995,49
Africa,Algeria,,Algiers,1,10,1995,51.9
Africa,Algeria,,Algiers,1,11,1995,51.7
Africa,Algeria,,Algiers,1,12,1995,51.3
Africa,Algeria,,Algiers,1,13,1995,47
Africa,Algeria,,Algiers,1,14,1995,46.9
Africa,Algeria,,Algiers,1,15,1995,47.5
Africa,Algeria,,Algiers,1,16,1995,45.9
Africa,Algeria,,Algiers,1,17,1995,44.5
Africa,Algeria,,Algiers,1,18,1995,50.7
Africa,Algeria,,Algiers,1,19,1995,54
Africa,Algeria,,Algiers,1,20,1995,52.6
Africa,Algeria,,Algiers,1,21,1995,54.2
Africa,Algeria,,Algiers,1,22,1995,51
Africa,Algeria,,Algiers,1,23,1995,53.5
Africa,Algeria,,Algiers,1,24,1995,54.2
Africa,Algeria,,Algiers,1,25,1995,54.2
Africa,Algeria,,Algiers,1,26,1995,52.6
Africa,Algeria,,Algiers,1,27,1995,55.5
Africa,Algeria,,Algiers,1,28,1995,53.8
Africa,Algeria,,Algiers,1,29,1995,54.3
Africa,Algeria,,Algiers,1,30,1995,57.4
Africa,Algeria,,Algiers,1,31,1995,56.9
Africa,Algeria,,Algiers,2,1,1995,50.4
Africa,Algeria,,Algiers,2,2,1995,50.1
Africa,Algeria,,Algiers,2,3,1995,54.1
Africa,Algeria,,Algiers,2,4,1995,49.1
Africa,Algeria,,Algiers,2,5,1995,48.8
Africa,Algeria,,Algiers,2,6,1995,50.7
Africa,Algeria,,Algiers,2,7,1995,51.6
Africa,Algeria,,Algiers,2,8,1995,52.6
Africa,Algeria,,Algiers,2,9,1995,56.3
Africa,Algeria,,Algiers,2,10,1995,59
Africa,Algeria,,Algiers,2,11,1995,59.4
Africa,Algeria,,Algiers,2,12,1995,55.5
Africa,Algeria,,Algiers,2,13,1995,57
Africa,Algeria,,Algiers,2,14,1995,60.8
Africa,Algeria,,Algiers,2,15,1995,61.8
Africa,Algeria,,Algiers,2,16,1995,57.7
Africa,Algeria,,Algiers,2,17,1995,56.1
Africa,Algeria,,Algiers,2,18,1995,53.4
